Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1990,12,,331,FrRnd,15,Brewers,Y,Marshall Boze (minors),RHP,-0.8,25,0,0,,,25,0,2,7.79,2.23,1,JC,Southwestern College (Chula Vista CA)
1990,12,,333,FrRnd,17,Rangers,Y,Andy Watson (minors),RHP,,,,,,,,,,,,,JC,Crowder College (Neosho MO)
1990,12,,334,FrRnd,18,Mets,Y,Cap Van Rynbach (minors),RHP,,,,,,,,,,,,,JC,Iowa Western Community College (Council Bluffs IA)
1990,12,,340,FrRnd,24,Cubs,N,Pedro Valdes (minors),LHP,-0.1,53,85,1,0.247,0.7,,,,,,,HS,Carlos Escobar Lopez HS (Loiza PR)
1990,12,,342,FrRnd,26,Royals,Y,Rodney Myers (minors),RHP,-1.2,167,18,0,0.167,0.389,167,7,5,5.07,1.56,1,4Yr,University of Wisconsin at Madison (Madison WI)
1990,13,,348,FrRnd,5,White Sox,Y,Rod Bolton (minors),RHP,-1.6,17,0,0,,,17,2,8,7.69,1.83,0,4Yr,University of Kentucky (Lexington KY)
1990,13,,349,FrRnd,6,Pirates,Y,Brian Shouse (minors),LHP,5.4,467,0,0,,,467,13,10,3.72,1.33,6,4Yr,Bradley University (Peoria IL)
1990,13,,350,FrRnd,7,Mariners,N,Kekoa Kaluhiokalani (minors),RHP,,,,,,,,,,,,,HS,Waianae HS (Waianae HI)
1990,13,,352,FrRnd,9,Indians,Y,Todd Whitehurst (minors),RHP,,,,,,,,,,,,,HS,North Monterey County HS (Castroville CA)
1990,13,,353,FrRnd,10,Dodgers,Y,Greg Davis (minors),RHP,,,,,,,,,,,,,JC,El Camino College (Torrance CA)
1990,13,,356,FrRnd,13,Twins,N,Steve Whitaker (minors),LHP,,,,,,,,,,,,,JC,Merced College (Merced CA)
1990,13,,357,FrRnd,14,Cardinals,Y,Tom Urbani (minors),LHP,-0.5,83,65,1,0.246,0.627,81,10,17,4.98,1.54,0,4Yr,California State University Long Beach (Long Beach CA)
